label,message
ham,"Hi John can we reschedule the meeting to tomorrow morning?"
spam,"Congratulations! You have won a free vacation. Call now to claim."
ham,"Please find attached the project report for your review."
spam,"URGENT! Your account is suspended. Verify immediately at this link."
ham,"Let's have lunch at 1 PM near the office cafeteria."
spam,"You were selected for a cash reward! Reply WIN to receive money."
ham,"Can you share the updated budget sheet by tonight?"
spam,"Get cheap meds online with 90 percent discount. Limited offer."
ham,"Reminder: Team standup starts at 9:30 AM every weekday."
spam,"Exclusive deal just for you. Buy one get three free, click now."
ham,"Thanks for your help with the deployment yesterday."
spam,"Final notice: Claim your lottery jackpot before it expires."
